Date,"VASP","cp2k","Gromacs","CASTEP","DL_POLY","NAMD","Unified Model","MITgcm","WRF","ONETEP","ChemShell","CRYSTAL","NWChem","GAMESS","Fluidity","NEMO","Quantum Espresso","Molpro","SENGA","Amber","LAMMPS","GS2","CASINO","incompact3d","HemeLB","OpenFOAM","SimVascular","Code_Saturne","HiPSTAR","EPOCH","FVCOM","Oasis","DL_MESO","CHROMA","Cray Testing","ELMFIRE","HYDRA","NECI","Nektar++","PDNS3D","SIESTA","USCNS3D","ptau3d","LS-DYNA","PRECISE","GPAW","Python","FHI aims","CloverLeaf","B2-EIRENE","flow_main","ABINIT"
"2014-04-18 00:00:00",3436,1231,753,2888,246,456,1722,372,1427,1024,0,232,0,0,0,660,2022,0,0,356,376,0,0,160,0,0,256,0,0,0,420,0,0,0,0,0,513,900,0,0,219,0,0,0,0,0,0,0,0,0,0,168
"2014-04-19 00:00:00",7841,1762,1231,2983,741,1445,1834,8,1240,1000,0,164,0,0,0,108,2645,0,0,168,392,0,0,3,0,0,1536,4096,862,0,504,0,0,0,0,0,0,500,0,0,10,0,0,0,0,0,0,0,0,0,0,90
"2014-04-20 00:00:00",5958,2086,896,2740,569,1293,1264,0,522,996,22,232,0,0,0,104,180,0,0,0,746,0,0,128,0,0,2408,10240,1293,0,126,0,0,0,0,0,0,100,0,0,1,600,600,0,0,0,0,96,0,0,0,204
"2014-04-21 00:00:00",8484,2464,910,2490,499,1104,3239,276,2562,48,0,256,0,0,4,66,64,0,0,316,612,0,128,224,0,0,2444,4096,0,0,294,0,0,0,0,0,1027,0,0,576,17,600,600,0,0,0,0,40,0,0,0,276
"2014-04-22 00:00:00",10673,2357,1143,2023,923,1080,3846,667,2348,812,90,3130,0,100,188,1462,1857,0,0,612,704,1026,832,160,0,43,4324,0,3448,0,0,0,22,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,180
"2014-04-23 00:00:00",11147,2793,462,2239,942,1212,7626,1852,3944,636,74,1206,4,436,184,1602,538,0,0,324,850,770,320,288,0,2752,3807,0,1293,0,0,0,0,0,0,0,0,0,0,0,165,0,0,0,0,4,260,0,0,0,0,144
"2014-04-24 00:00:00",13096,3275,1550,3719,1051,1424,8715,2259,6041,1857,143,1124,0,244,188,1193,878,0,0,364,864,129,0,0,0,5117,4653,0,0,0,0,0,0,0,0,0,0,0,0,0,203,0,0,0,0,6,6,13,0,0,0,60
"2014-04-25 00:00:00",10622,3434,3520,5281,878,1710,4400,911,2858,858,198,2684,152,476,191,926,2548,0,0,375,317,215,128,0,0,946,5076,0,0,40,0,291,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,305,0,0,0,0
"2014-04-26 00:00:00",7569,2488,2206,3284,801,0,3363,810,2496,419,0,1542,332,214,257,1776,614,0,0,63,884,0,896,96,0,16,2820,0,3879,920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,52,16,0,0,0,0
"2014-04-27 00:00:00",4306,244,169,2209,349,0,3255,696,2586,406,0,800,24,168,634,1626,164,0,0,32,1096,0,512,32,0,2800,1128,0,5603,0,0,0,154,0,0,0,0,0,0,576,224,0,0,0,0,0,0,37,0,0,0,40
"2014-04-28 00:00:00",13005,3403,1332,2922,530,461,4371,940,2238,2425,66,917,244,78,523,2124,218,0,0,316,1450,0,448,0,0,1528,0,0,6034,0,0,0,0,0,0,0,0,0,0,0,405,0,0,0,0,0,0,0,0,0,0,56
"2014-04-29 00:00:00",21593,9070,1455,4886,387,3070,7084,951,5340,1369,110,322,216,120,0,1944,122,0,0,355,1482,6,576,96,10,550,1,0,0,4,294,114,0,0,0,0,0,0,0,0,148,0,0,0,0,0,0,64,0,0,0,92
"2014-04-30 00:00:00",16024,4618,2549,4977,570,1461,5015,1207,2940,1091,196,69,36,136,279,2034,103,0,0,502,1045,0,960,96,0,883,1128,0,855,400,672,227,22,0,0,0,0,0,480,0,128,0,0,0,0,0,1,30,0,0,0,116
"2014-05-01 00:00:00",19395,4868,2379,3222,1011,1753,5335,812,2896,442,326,0,168,62,1281,5445,14,0,0,239,761,0,1536,160,0,1009,3384,0,1293,1210,0,97,220,0,0,0,0,0,0,0,112,0,0,0,0,0,0,0,0,0,0,106
