Date,"VASP","cp2k","Gromacs","CASTEP","DL_POLY","NAMD","Unified Model","MITgcm","WRF","ONETEP","ChemShell","CRYSTAL","NWChem","GAMESS","Fluidity","NEMO","Quantum Espresso","Molpro","SENGA","Amber","LAMMPS","GS2","CASINO","incompact3d","HemeLB","OpenFOAM","SimVascular","Code_Saturne","HiPSTAR","EPOCH","FVCOM","Oasis","DL_MESO","CHROMA","Cray Testing","ELMFIRE","HYDRA","NECI","Nektar++","PDNS3D","SIESTA","USCNS3D","ptau3d","LS-DYNA","PRECISE","GPAW","Python","FHI aims","CloverLeaf","B2-EIRENE","flow_main","ABINIT"
"2014-05-19 00:00:00",10497,997,1422,3227,1105,0,4691,3950,2620,2368,248,912,0,6,24,1154,348,0,0,200,1652,33,0,0,0,590,0,4416,4310,0,0,0,22,0,0,0,0,23,0,0,163,0,0,0,0,0,0,68,0,0,0,0
"2014-05-20 00:00:00",10957,1731,1522,3597,1526,784,4879,1320,3290,2865,260,1472,0,21,0,177,528,0,0,294,2594,1119,0,32,0,442,0,912,1293,300,0,0,0,0,0,0,0,538,0,384,181,0,0,0,0,0,0,0,0,0,0,0
"2014-05-21 00:00:00",7547,4298,2835,4044,515,3108,3037,1208,1759,2535,108,1398,0,0,26,57,366,0,0,246,894,687,0,0,0,362,564,512,22,300,0,0,22,0,0,0,0,582,0,1728,19,0,0,0,0,0,0,28,0,0,0,0
"2014-05-22 00:00:00",7603,2563,3944,5112,325,3988,7839,2496,5774,2643,402,234,0,9,49,900,118,0,81,89,581,430,0,32,0,160,376,256,0,0,0,0,0,0,0,0,0,822,0,1152,90,0,0,0,0,0,0,12,0,0,0,0
"2014-05-23 00:00:00",6077,2942,2726,4403,444,540,4142,2156,1757,2224,496,1014,0,5,30,339,1358,0,99,28,2055,392,320,0,512,394,564,0,431,0,0,0,0,0,0,0,0,502,0,0,144,0,0,0,0,0,0,0,0,0,0,0
"2014-05-24 00:00:00",4778,1065,804,2259,29,384,2263,1124,536,2501,0,0,0,0,3,358,496,0,0,38,3074,0,0,11,0,168,188,0,2155,0,0,0,0,0,0,0,0,728,0,576,167,0,0,0,0,192,192,0,0,0,0,0
"2014-05-25 00:00:00",4039,680,36,1069,1,320,984,414,0,2188,0,180,2,0,0,200,191,0,0,48,749,0,0,66,0,136,940,256,431,0,0,0,0,0,0,0,0,228,0,960,16,0,0,0,0,128,128,0,0,0,0,0
"2014-05-26 00:00:00",11333,5191,228,858,272,0,3356,782,574,202,24,245,140,0,0,504,600,0,0,366,3630,0,8,206,0,192,564,0,3453,0,0,0,0,0,0,0,0,1195,240,0,6,1200,1200,0,0,0,0,176,0,0,0,0
"2014-05-27 00:00:00",9917,2027,392,911,1377,0,3577,859,42,894,404,5688,130,47,0,1812,844,0,0,67,8018,8,56,310,0,192,1128,1024,0,0,0,48,0,0,0,0,0,1280,140,1152,0,0,0,0,0,0,0,361,0,0,0,0
"2014-05-28 00:00:00",9398,3689,671,838,1538,0,2636,435,238,2108,200,3904,156,44,2,1693,1605,0,12,436,10646,0,512,11,2048,192,564,2176,5,0,0,48,0,0,0,0,0,820,444,192,64,0,0,0,0,0,1084,400,0,0,0,0
"2014-05-29 00:00:00",14280,1938,430,2538,1945,0,5549,1566,1860,4020,358,2080,68,0,0,3244,1984,0,0,1175,9036,0,24,11,0,442,0,832,1293,15,63,144,0,0,0,0,0,2460,48,576,175,0,0,0,0,192,238,752,0,0,0,0
"2014-05-30 00:00:00",11328,2572,948,2204,2306,0,4341,1499,1836,4812,350,1836,132,6,0,4676,211,0,0,854,9587,43,400,143,0,966,0,0,1293,0,649,115,0,0,0,0,150,2400,40,0,192,1200,1200,0,0,0,7,528,0,0,0,0
"2014-05-31 00:00:00",8603,1372,1400,578,2038,6,2582,2092,24,2349,966,551,632,130,0,3151,242,0,0,588,6693,0,0,176,0,432,564,128,431,0,658,489,0,0,0,0,650,2400,116,0,128,0,0,0,0,0,600,1058,0,0,0,0
"2014-06-01 00:00:00",5156,2026,696,2252,1343,1,1377,835,0,1796,2280,640,202,140,0,178,6,0,0,400,1638,0,0,475,0,104,1128,192,0,0,0,352,0,0,0,0,0,1800,360,576,144,0,0,0,0,0,606,864,0,0,0,0
"2014-06-02 00:00:00",356,2718,0,48,72,0,116,0,0,52,472,0,0,0,0,18,0,0,0,18,25,0,0,140,0,0,0,0,0,0,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"2014-06-04 00:00:00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2014-06-05 00:00:00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23870,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2014-06-06 00:00:00",6528,2632,1105,1356,1540,0,2656,1833,799,3156,2840,1743,120,18,7,3792,212,0,0,374,260,519,0,86,0,624,0,32,1724,0,0,168,28,0,0,0,0,0,320,0,120,0,0,0,0,0,0,0,0,0,0,0
"2014-06-07 00:00:00",8502,860,1672,886,758,0,3261,2280,1250,4653,3616,719,0,0,17,919,64,0,0,146,144,1944,0,11,0,664,1692,1920,3448,0,0,573,44,0,0,0,0,0,80,768,256,0,0,0,0,0,600,0,0,0,0,0
"2014-06-08 00:00:00",6663,738,1224,4716,80,0,1547,1554,298,925,3316,2816,0,0,0,834,12,0,0,4386,121,60,0,77,0,572,0,0,3681,0,65,456,0,0,0,0,0,0,0,5,192,1200,1200,0,0,128,728,0,0,0,0,0
"2014-06-09 00:00:00",15010,2370,601,3511,1116,0,1965,2370,72,3586,3834,1763,381,0,0,4047,24,0,0,3276,30,165,0,66,0,190,1692,384,0,0,165,495,0,0,0,0,0,0,80,1,104,1200,1200,0,0,64,64,26,0,0,0,0
"2014-06-10 00:00:00",15408,1752,866,4755,1431,0,2933,1920,272,5497,1460,2816,312,18,14,2283,174,0,0,1948,120,479,0,76,0,536,0,0,2586,120,794,60,164,0,0,0,0,0,0,0,0,0,0,0,0,128,128,120,0,0,0,0
"2014-06-11 00:00:00",11774,2346,3685,4077,980,176,5493,1751,2575,2478,2566,1524,146,0,10,2248,3598,0,0,2352,380,110,0,473,0,364,1128,0,2148,10,1005,0,247,0,0,0,318,0,0,0,48,0,0,0,0,192,192,184,0,0,0,0
"2014-06-12 00:00:00",5861,1642,753,1998,240,3184,2591,812,991,1461,1648,11,39,0,0,1169,1156,0,0,980,362,43,0,98,0,234,0,0,0,0,8,13,95,0,0,0,0,49,240,0,64,0,0,0,0,0,0,92,0,0,0,0
"2014-06-13 00:00:00",9189,828,968,2302,573,0,5428,2708,3296,1596,1826,542,39,24,0,6251,136,0,0,0,990,12,0,183,0,358,0,0,862,100,1,0,95,0,0,0,0,24,124,0,104,800,800,0,0,0,0,92,0,0,0,0
"2014-06-14 00:00:00",9536,2936,1150,2625,560,0,3608,4896,1446,3259,1760,832,39,16,0,472,72,0,0,0,2922,648,0,484,0,56,0,0,4104,0,0,0,18,0,0,0,10,217,720,576,168,0,0,0,0,448,448,32,0,0,0,0
"2014-06-15 00:00:00",11765,1891,1484,1937,42,0,1892,3218,300,2511,1524,1024,72,0,0,0,36,0,0,0,980,1080,0,516,0,136,0,0,862,0,0,0,99,0,0,0,5,390,1160,576,192,0,0,0,0,0,0,80,0,0,0,0
"2014-06-16 00:00:00",10408,1549,1355,4566,942,693,3381,3119,740,3271,1306,861,249,0,0,918,106,0,9,32,1167,72,0,129,0,48,0,0,0,1320,0,230,144,0,0,0,48,132,560,0,192,0,0,0,0,0,0,456,0,0,0,0
"2014-06-17 00:00:00",12126,1993,2465,4051,639,1680,3032,1257,456,3453,1640,153,296,0,0,1106,252,0,72,8,683,0,2560,237,0,192,0,32,0,2620,0,139,88,0,0,0,144,177,160,24,184,0,0,0,0,640,1240,190,0,0,0,0
"2014-06-18 00:00:00",8087,1474,3551,4364,337,1239,3911,1236,242,1843,1986,661,12,0,0,8181,242,0,72,0,64,0,2304,129,0,192,0,96,0,650,15,0,110,0,0,0,472,240,240,0,284,0,0,0,0,128,729,197,0,0,0,0
